Titulos	Texto	Entidades
Micropropagação vegetal da alfavaca para obtenção de bioativos de valor agregado com foco no agronegócio.	O objetivo geral do presente projeto é desenvolver a micropropagação vegetal da alfavaca para a obtenção de bioativos de valor agregado com foco no agronegócio.Desenvolver protocolos para introdução e estabelecimento in vitro de 2 (duas) espécies: alfavaca-cravo e alfavaca-da-índia; Desenvolver protocolos e otimizar o processo de multiplicação e enraizamento, in vitro, da cultura de alfavaca; Desenvolver e otimizar protocolos de aclimatização das duas espécies de alfavaca; Controlar contaminantes na micropropagação vegetal das espécies de alfavaca; Extrair bioativos por técnicas de hidrodestilação e por CO2 supercrítico em diferentes condições climáticas e de estações do ano; Desenvolver bioprodutos, a partir das espécies de alfavaca, de interesse econômico para melhorar o desempenho de culturas vegetais; Caracterizar e realizar os ensaios de toxicidade dos bioativos e dos bioprodutos obtidos/desenvolvidos das espécies de alfavaca; Acompanhar e avaliar o desempenho da produção, em campo, das espécies de alfavaca provenientes de mudas micropropagadas.	Micropropagação vegetal, Alfavaca, Bioativos, Agronegócio, Alfavaca-cravo, Alfavaca-da-índia, Multiplicação, Enraizamento, Aclimatização, Contaminantes, Hidrodestilação, CO2 supercrítico, Bioprodutos, Desempenho de culturas vegetais, Toxicidade, Mudas micropropagadas
BIOMETRIC DETECTION	Software para detecção facial e biométrica usando vídeo.	Detecção facial, Biométrica, Vídeo, Software
Dispositivo flexível para monitoramento de plantas industriais	Este projeto tem como objetivo mitigar as deficiências de comunicação de dispositivos de monitoramento e atuação legados através do projeto e desenvolvimento de um dispositivo de coleta de dados baseado em tecnologias de Internet das Coisas (IoT). Este dispositivo de instalação e operação simples deverá permitir a integração flexível de diferentes tipos de sensores para diferentes medições (vazão, vibração, consumo, temperatura, contagem, etc.) e diferentes granularidades de medição. A integração com dispositivos legados deve ser compatível com interfaces como RS485, RS232, saída de pulsos, entre outras, e deve ser capaz de enviar os dados medidos usando diferentes mecanismos de comunicação (LoraWan, NBIoT, Ethernet, Wifi, etc.). O desenvolvimento dispositivo será acompanhado do desenvolvimento de componentes de software para integração com sistemas em execução na nuvem.	Dispositivos de monitoramento, Internet das Coisas (IoT), Sensores, Vazão, Vibração, Consumo, Temperatura, Contagem, RS485, RS232, LoraWan, NBIoT, Ethernet, Wifi, Software, Nuvem
Plataforma de Internet das Coisas, reconhecimento de voz e biometria aplicada a sistemas de segurança	Pesquisa, desenvolvimento e experimentação de uma plataforma de Internet das Coisas, reconhecimento de voz e biometria aplicada a sistemas de segurança.	Pesquisa, Desenvolvimento, Plataforma de Internet das Coisas (IoT), Reconhecimento de voz, Biometria, Sistemas de segurança
Validação inteligente de perfil de estudantes de intercâmbio	O principal objetivo do projeto é a pesquisa, o desenvolvimento e a demonstração de funções críticas de um possível produto de análise inteligente de aderência de intercâmbios estudantis internacionais que minimizem a possibilidade do evento adverso de cancelamento do intercâmbio contratado.	Pesquisa, Desenvolvimento, Análise inteligente, Aderência, Intercâmbios estudantis internacionais, Cancelamento do intercâmbio
EMBRAPII CEINFAR  Novos produtos naturais antimicrobianos	Título público: EMBRAPII CEINFAR  Novos produtos naturais antimicrobianos Descrição pública: A resistência a antimicrobianos é uma das maiores emergências em Saúde Pública em todo o mundo. Este projeto se vale de abordagens experimentais diversificadas para descobrir e caracterizar moléculas inéditas que tenham atividade antimicrobiana contra patógenos de alta relevância médica, a partir da prospecção de extratos e frações vegetais oriundas da biodiversidade brasileira. Para tanto, serão utilizados modelos celulares para análise antimicrobiana in vitro.	EMBRAPII CEINFAR, Produtos naturais antimicrobianos, Resistência a antimicrobianos, Saúde Pública, Patógenos, Prospecção de extratos, Frações vegetais, Biodiversidade brasileira, Modelos celulares, Análise antimicrobiana in vitro
Batom Inteligente Fase IV	O PROJETO visa continuar e melhorar o protótipo do batom inteligente, para a Boticário, que é um dispositivo eletrônico que permitirá que pessoas com deficiência visual ou com deficiência física possam usar batom sem qualquer dificuldade ou erro de contorno com o simples acionamento de um botão.   A tecnologia pioneira e inovadora que utilizará inteligência artificial foi criada pela equipe de Pesquisa e Desenvolvimento em parceria com a área de Tecnologia e suporte do time de Diversidade do Grupo Boticário, em colaboração com a área de inovação do CESAR, e será capaz de aplicar o batom automaticamente, sem borrar, respeitando os limites da mucosa, diferenciando a pele dos lábios e do rosto com precisão. Para a fase em questão, a Neurobot também contribuirá para os resultados.  O batom inteligente que ainda está em fase de desenvolvimento está sendo feito para detectar diferentes tons de pele, independente de gênero e idade.  Através de uma foto e utilizando inteligência artificial, o sistema reconhecerá o lábio e enviará as coordenadas para a aplicação. A partir daí, a máquina aplicará o batom escolhido com precisão.	Batom inteligente, Boticário, Deficiência visual, Deficiência física, Inteligência artificial, Pesquisa e Desenvolvimento, Diversidade, Grupo Boticário, CESAR, Inovação, Neurobot, Tons de pele, Gênero, Idade, Sistema de reconhecimento de lábios
Biometric Cards	Desenvolvimento de uma aplicação para celular para dar acesso e suporte aos cartões biométricos da Thales.	Thales, cartões biométricos.
ESTUDOS NÃO CLÍNICOS DE EFICÁCIA E SEGURANÇA DE EXTRATOS PADRONIZADOS DE PLANTAS MEDICINAIS PARA O TRATAMENTO DE DOENÇAS INFLAMATÓRIAS INTESTINAIS	Este projeto busca selecionar plantas medicinais com potencial ação imunomoduladora, anti-inflamatória e/ou de modulação da microbiota intestinal, suportado por evidências científicas robustas, para produzir extratos padronizados compostos por diferentes substâncias ativas a fim de validar sua eficácia e segurança pré-clínica no tratamento das doenças inflamatórias intestinais. Após a seleção das espécies a serem utilizadas no presente projeto, serão produzidos extratos pilotos (aquoso ou hidroalcoólico) padronizados para avaliação inicial das suas eficácias no tratamento dessas doenças inflamatórias. Após a seleção das escpécies a serem estudadas, será produzido extrato em quantidade suficiente para a condução dos demais estudos não clínicos de eficácia, mecanismo de ação, famacocinética e segurança, a fim de obter um dossiê cientificamente robusto para embasar os estudos clínicos posteriores.	plantas medicinais, ação imunomoduladora, ação anti-inflamatória, modulação da microbiota intestinal, extratos padronizados, substâncias ativas, doenças inflamatórias intestinais.
Desenvolvimento de biomateriais para aplicação agroambiental a partir de resíduos sólidos carbonosos	Desenvolvimento de biomaterial adsorvente de fósforo e biofertlizante. A proposta de projeto visa buscar uma solução viável e alternativa aos resíduos sólidos apresentados pela Monsanto/Bayer, para o desenvolvimento de biomateriais para serem utilizados com adsorvente de fósforo oriundo do efluente da Monsanto/Bayer e biofertilizantes para incrementador da fertilidade do solo, visando a redução do consumo de fertilizantes tradicionais.	biomaterial adsorvente de fósforo, biofertilizante, resíduos sólidos, Monsanto, Bayer, adsorvente de fósforo, efluente, fertilidade do solo, fertilizantes tradicionais.
DESENVOLVIMENTO DE COMPOSTOS À BASE DE COBRE E AVALIAÇÃO DA ATIVIDADE MICROBIOCIDA FRENTE AO SARS-COV-2	O desenvolvimento dos novos materiais compostos com capacidade biocida frente a diferentes patógenos, incluindo o SARS-CoV-2 será conduzido, e avaliados do ponto de vista microestrutural a fim de validar a metodologia e estabelecer uma correlação entre as diferentes fases estáveis do substrato e suas propriedades no que tange ao efeito biocida dos materiais. Serão preparados diferentes materiais compostos a base de cobre, onde a estabilidade das fases e as propriedades das mesmas serão avaliadas frente não somente a bactérias e vírus patogênicos, mas também sobre patógenos emergentes, tais como SARS-CoV-2 e bactérias multirresistentes, as quais são apontadas como potenciais causadoras das próximas pandemias. Os materiais serão analisados em diferentes fases, proporções e condições de cultivo microbiano. Os resultados poderão fornecer dados importantes sobre a interação dos íons cobre liberados durante a oxidação da superfície do substrato e a sua ação biocida. Nesse sentido, patógenos já tidos como referências em testes de desafio (Challenge Tests), bem como análises de contato, formação de biofilmes, além de análises adaptadas a partir dos testes de concentração mínima inibitória (MIC) serão avaliados frente aos diferentes compostos produzidos.	materiais compostos, biocida, patógenos, SARS-CoV-2, microestrutural, cobre, bactérias, vírus patogênicos, patógenos emergentes, bactérias multirresistentes, pandemias, íons cobre, oxidação, superfície do substrato, biofilmes, concentração mínima inibitória (MIC).
Desenvolvimento de formulação de amido de mandioca aditivada para fabricação de embalagens com propriedade biodegradável	É esperado o desenvolvimento de formulações de amido de mandioca aditivado, que apresente propriedades térmicas e reológicas necessárias para o processo e obtenção de embalagens biodegradáveis de mandioca.	formulações de amido de mandioca, propriedades térmicas, propriedades reológicas, embalagens biodegradáveis de mandioca.
Desenvolvimento de formulação de polímero biodegradável para a produção de embalagens sustentáveis	Desenvolvimento de embalagens utilizando-se um polímero totalmente biodegradável pertencente à família dos poli-hidroxialcanoatos (PHA), produzido em escala piloto pela empresa BIOUS, por meio de uma tecnologia inovadora.	embalagens, polímero biodegradável, poli-hidroxialcanoatos (PHA), BIOUS, tecnologia inovadora.
DESENVOLVIMENTO DE FORMULAÇÃO SÓLIDA CONTENDO PRÉ E PÓS BIÓTICOS NANOESTRUTURADOS PARA CONTROLE DA MICROBIOTA E PROTEÇÃO CUTÂNEA	É esperado o desenvolvimento de um comprimido de rápida dispersão contendo pré e pós-bióticos, veiculados em nanopartículas para ser aplicado nas mãos visando o controle de microrganismos temporários da pele e promoção do desenvolvimento da microbiota permanente. O produto gerado será do tipo long-lasting.	comprimido de rápida dispersão, pré-bióticos, pós-bióticos, nanopartículas, microrganismos temporários da pele, microbiota permanente, long-lasting.
Desenvolvimento de formulação tópica contendo nanopartículas lipídicas para reequilíbrio da microbiota na pele com dermatite atópica	Desenvolvimento de formulação nanoestruturada contendo pré e pós-bióticos para ação na microbiota da pele de pacientes com dermatite atópica (DA) e avaliar a eficácia clínica pela redução da concentração de bactérias S. aureus e aumento das bactérias S. epidermidis e S. capitis na pele lesada, associada ou não a tratamento com probióticos orais.	formulação nanoestruturada, pré-bióticos, pós-bióticos, microbiota da pele, dermatite atópica (DA), eficácia clínica, S. aureus, S. epidermidis, S. capitis, pele lesada, probióticos orais.
Desenvolvimento de formulações/compostos de biopolimeros que permitam a sua aplicação em diferentes setores industriais com aumento da tenacidade	Esse projeto tem como objetivo o desenvolvimento de formulações poliméricas específicas para uso do biopolímero fabricado pela empresa Bioreset, para que este apresente propriedades físico-químicas e mecânicas (resistência térmica, flexão, dureza, processabilidade) adequados para aplicações em filmes e peças rígidas poliméricas em setores industriais nos quais a biodegradabilidade é desejável. O desafio consiste em desenvolver uma combinação de aditivos e biopolímero que permita ao processo de peças em condições reais de processamento e que evita a degradação termomecânica do biopolímero, acelere sua cristalização e aumente em cerca de 10 a 20% a tenacidade do material final processado.	formulações poliméricas, biopolímero, Bioreset, propriedades físico-químicas, propriedades mecânicas, resistência térmica, flexão, dureza, processabilidade, filmes, peças rígidas poliméricas, biodegradabilidade, aditivos, degradação termomecânica, cristalização, tenacidade.
Desenvolvimento de nanopartículas a base de cobre  residual e seu potencial uso como agente microbicida para aplicações industriais	Materiais ou superfícies com propriedades antimicrobianas têm a capacidade de regular a prevalência ou o surgimento de patogenias e/ou doenças que acometem à saúde humana, bem como ambiental. Tais propriedades são de grande valia no que se refere à prevenção da disseminação de patógenos emergentes, tal como o SARS-CoV-2, relacionado à pandemia da COVID-19. O cobre e suas ligas têm sido amplamente estudados e difundidos quanto às suas propriedades microbicidas, reveladas desde os primórdios da humanidade. Assim, obtenção dede nanopartículas de cobre a partir do subproduto industrial: íon cobre em solução aquosa o qual pode ser reaproveitado como matéria-prima para a síntese de nanopartículas à base de cobre. Neste projeto, pretende-se sintetizar nanopartículas à base de Cu empregando resíduos de Cu gerados na empresa parceira com propriedades microbicidas. Isso permitirá agregar valor ao resíduo produzido, gerar inovação e ampliar a aplicação do bioativo em diferentes contextos, incluindo não somente o industrial, bem como formulações cosméticas, aplicações urbanas, clínicas e na agroindústria. As nanopartículas sintetizadas poderão ser monometálicas, bimetálicas ou conter outros átomos em proporções mínimas, bem como poderão ser óxidos de cobre nanoestruturado. A avaliação da capacidade biocida das nanopartículas contendo cobre frente a diferentes patógenos será realizada do ponto de vista físico-químico e microbiológico para se estabelecer uma correlação entre a estrutura e forma do substrato e o efeito biocida. Almeja-se ainda a evidenciação acerca da eficiência das nanoligas à base de cobre, quanto à quebra das rotas de transferência horizontal de genes e de resistência a metais, de maneira a permitir a ampla aplicação de materiais em diferentes contextos da cadeia produtiva industrial. O projeto enquadra-se no nível de maturidade TRL-4 com experimentação e validação em escala de bancada empregando o resíduo industrial para desenvolver as nanopartículas de cobre e sua incorporação nas nanoligas/compostos com propriedades microbicidas.	materiais antimicrobianos, patogenias, doenças, saúde humana, saúde ambiental, patógenos emergentes, SARS-CoV-2, pandemia da COVID-19, cobre, ligas de cobre, propriedades microbicidas, nanopartículas de cobre, íon cobre, solução aquosa, resíduos de cobre, inovação, bioativo, formulações cosméticas, aplicações urbanas, clínicas, agroindústria, nanopartículas monometálicas, nanopartículas bimetálicas, óxidos de cobre nanoestruturado, capacidade biocida, patógenos, físico-químico, microbiológico, nanoligas, transferência horizontal de genes, resistência a metais, TRL-4.
Desenvolvimento de paletes one way empregando composições alternativas	O desenvolvimento de paletes one-way a partir de matérias-primas que possibilitem o descarte para atender os preceitos de economia circular é de grande interesse para empresas que utilizam esses paletes na exportação de seus produtos, evitando assim o uso de paletes de madeira. Assim, o objetivo desse projeto consiste em desenvolver e avaliar diferentes composições poliméricas para produção de compósitos e blendas, utilizando biopolímeros e aditivos naturais, que possam ser empregados na produção de paletes one-way, e que atendam as propriedades mecânicas e as exigências fitossanitárias necessárias para sua aplicação. Além da produção e validação da composição polimérica, o projeto inclui ainda o estudo da reciclagem das composições poliméricas desenvolvidas e sua biodegradação afim de estabelecer rotas mais sustentáveis para seu descarte.	paletes one-way, economia circular, matérias-primas, descarte, exportação, paletes de madeira, composições poliméricas, compósitos, blendas, biopolímeros, aditivos naturais, propriedades mecânicas, exigências fitossanitárias, reciclagem, biodegradação, rotas sustentáveis para descarte.
Desenvolvimento de tecnologia para aproveitamento de aparas de autoadesivos visando a produção de compósitos, nanomateriais e biofertilizantes.	O objetivo do projeto de pesquisa é desenvolver produtos e processos para viabilizar o reaproveitamento das aparas de filmes de autoadesivos, visando a  recuperação da celulose no autoadesivo para produção de filmes de celulose, nanocristais de celulose, materiais compósitos e biofertilizantes.	produtos, processos, reaproveitamento, aparas de filmes de autoadesivos, celulose, filmes de celulose, nanocristais de celulose, materiais compósitos, biofertilizantes.
Desenvolvimento e otimização de formulação de amido de mandioca para fabricação de embalagens biodegradáveis	Desenvolvimento e a otimização de formulação de amido de mandioca para fabricação de embalagens biodegradáveis, tendo como base os resultados obtidos previamente no acordo de parceria n° 390/2021, com o objetivo de validar em ambiente relevante (TRL6).	formulação de amido de mandioca, embalagens biodegradáveis, acordo de parceria n° 390/2021, ambiente relevante, TRL6.
Estudo e desenvolvimento de biossensores para detecção de cianotoxinas em amostras de água.	O projeto tem como objetivo o estudo e desenvolvimento de eletrodos como biossensores detectores de cianotoxinas considerando o custo-benefício atrelado à sensibilidade e reprodutibilidade dos dispositivos desenvolvidos na primeira etapa do projeto.	eletrodos, biossensores, cianotoxinas, custo-benefício, sensibilidade, reprodutibilidade, dispositivos.
Estudo e desenvolvimento de biossensores para detecção de saxitoxina de estrutura básica em água	O objetivo principal do projeto é desenvolver um biossensor para a detecção da saxitoxina (STX) de estrutura básica em água. Para tanto, eletrodos formados por filmes nanométricos serão fabricados, caracterizados e modificados com anticorpos específicos anti-saxitoxina (anti-STX).	biossensor, detecção, saxitoxina (STX), eletrodos, filmes nanométricos, anticorpos específicos, anti-saxitoxina (anti-STX).
Produção de biofertilizantes a partir de resíduos carbonosos para incremento da fertilidade do solo.	A proposta de projeto visa buscar uma solução viável e alternativa aos resíduos sólidos apresentados pela Monsanto, aqui descritos como resíduos poliméricos e a base de lignina tais como madeira, embalagens e jardinagem e lodo industrial rico em fosfato. Assim, diante da necessidade de agregar valor ao resíduo industrial e desenvolver novos biofertilizantes, o grupo de pesquisa unirá esforços e expertises com o intuito de viabilizar o desenvolvimento de biofertilizantes (biochar) empregando o resíduo industrial em contextos de aproveitamento agrícola, como incrementador da fertilidade do solo e redução do consumo de fertilizantes tradicionais.	resíduos sólidos, Monsanto, resíduos poliméricos, lignina, madeira, embalagens, jardinagem, lodo industrial rico em fosfato, valor agregado, resíduo industrial, biofertilizantes, biochar, aproveitamento agrícola, fertilidade do solo, fertilizantes tradicionais.
Produto para cuidados anti-rugas e antienvelhecimento baseado no equilíbrio da microbiota cutânea	Desenvolvimento de formulação cosmética veiculando sistema nanoestruturado lipídico contendo pré e pós-bióticos (vitaminas e ácidos graxos de cadeia curta) a fim de promoverem o equilíbrio da microbiota da pele, com foco na redução/retardamento do envelhecimento cutâneo pela recolonização da pele por microrganismos típicos de peles jovens. A inovação dessa proposta reside no desenvolvimento de um sistema nanoestruturado contendo pré e pós-bióticos obtidos por meio de um processo de emulsificação à baixa energia que utiliza co-solventes/emulsificantes para formação da nanodispersão de fase oleosa em meio aquoso, sendo que estes ao se difundirem para omeio aquoso possibilitam a formação de microambientes lipofílicos para retenção dos bioativos elencados. Adicionalmente, também constitui inovação a estratégia de tratamento cosmético da pele envelhecida por meio do reequilíbrio da microbiota cutânea a partir dos pré e pós bióticos disponibilizados pela formulação visando o estímulo ao desenvolvimento de espécies de microrganismos prevalentes em peles tidas como fisiologicamente jovens.	formulação cosmética, sistema nanoestruturado lipídico, pré-bióticos, pós-bióticos, vitaminas, ácidos graxos de cadeia curta, microbiota da pele, envelhecimento cutâneo, microrganismos típicos de peles jovens, emulsificação à baixa energia, co-solventes, emulsificantes, nanodispersão, microambientes lipofílicos, bioativos, tratamento cosmético, microbiota cutânea, espécies de microrganismos, peles jovens.
Ambiem - Vinagre Probio	Desenvolver em escala conceitual de bancada, uma formulação de vinagre.	formulação de vinagre, escala conceitual de bancada.
Biocombustível Marítimo	Desenvolver em escala de laboratório (TRL 3) o conceito para formulação de biocombustível naval.	formulação de biocombustível naval, escala de laboratório, TRL 3.
Biofilmes para substituição de estruturas monocamadas	Desenvolvimento de aplicação de biofilmes para substituir estruturas monocamadas através de mapeamento  tecnológico.	aplicação de biofilmes, estruturas monocamadas, mapeamento tecnológico.
Biopolímero Nanoestruturado	Produzir filmes poliméricos reforçados com nanocelulose de sisal para produção de placas de proteção  balística (nível III-A).	filmes poliméricos, nanocelulose de sisal, placas de proteção balística, nível III-A.
